Car_Name,Make,Model,Make_Year,Price
"Honda City ZX CVT",Honda,City,2021,1537000
"Hyundai New i20 Asta (O) 1.2 MT",Hyundai,"New i20",2021,908000
"Renault Kwid [2017-2019] CLIMBER 1.0 AMT",Renault,Kwid,2019,508000
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2019,417000
"Maruti Suzuki Dzire [2017-2020] VDi AMT","Maruti Suzuki",Dzire,2017,725000
"Hyundai New i20 Asta 1.0 Turbo IMT",Hyundai,"New i20",2020,980000
"Mahindra TUV300 [2015-2020] T8 mHAWK100 AMT",Mahindra,TUV300,2017,796000
"Hyundai i10 [2010-2016] Magna Petrol",Hyundai,i10,2016,435000
"Maruti Suzuki Eeco AC 5 STR","Maruti Suzuki",Eeco,2020,481000
"Maruti Suzuki Swift [2011-2017] VXI","Maruti Suzuki",Swift,2013,442000
"Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT","Maruti Suzuki",Dzire,2018,759000
"Hyundai Xcent [2014-2017] SX Petrol",Hyundai,Xcent,2015,455000
"Tata Harrier XZA Plus Dark Edition AT",Tata,Harrier,2021,1972000
